game_date,team,opponent,record,1st_inning,2nd_inning,3rd_inning,4th_inning,5th_inning,6th_inning,7th_inning,8th_inning,9th_inning,10th_inning,11th_inning,12th_inning,13th_inning,14th_inning,15th_inning,16th_inning,extra_inning,runs,hits,errors,result
2022-03-17,Twins,Red Sox,0 - 1 ,0,0,1,0,0,0,0,0,0,X,X,X,X,X,X,X,N,1,2,2,L
2022-03-17,Red Sox,Twins,1 - 0 ,4,0,0,0,2,0,2,6,X,X,X,X,X,X,X,X,N,14,14,0,W
2022-03-17,Cubs,White Sox,0 - 1 ,0,1,0,0,0,1,0,X,X,X,X,X,X,X,X,X,N,2,8,0,L
2022-03-17,White Sox,Cubs,1 - 0 ,1,3,1,0,0,0,X,X,X,X,X,X,X,X,X,X,N,5,10,1,W
2022-03-17,White Sox,Cubs,2 - 0 ,0,1,1,0,1,1,0,X,X,X,X,X,X,X,X,X,N,4,7,0,W
2022-03-17,Cubs,White Sox,0 - 2 ,0,0,2,0,0,1,0,X,X,X,X,X,X,X,X,X,N,3,4,1,L
2022-03-17,D-backs,Rockies,0 - 1 ,0,0,0,0,0,0,2,1,0,X,X,X,X,X,X,X,N,3,6,0,L
2022-03-17,Rockies,D-backs,1 - 0 ,0,0,1,1,2,1,0,0,X,X,X,X,X,X,X,X,N,5,8,0,W
2022-03-18,Astros,Cardinals,0 - 1 ,0,1,0,0,1,0,0,0,0,X,X,X,X,X,X,X,N,2,5,0,L
2022-03-18,Cardinals,Astros,1 - 0 ,0,0,2,2,0,0,0,0,X,X,X,X,X,X,X,X,N,4,3,0,W
2022-03-18,Rays,Red Sox,0 - 1 ,0,0,2,1,0,0,3,0,0,X,X,X,X,X,X,X,N,6,8,1,L
2022-03-18,Red Sox,Rays,2 - 0 ,0,0,0,3,0,1,0,2,1,X,X,X,X,X,X,X,N,7,13,0,W
2022-03-18,Blue Jays,Orioles,1 - 0 ,0,3,3,0,0,0,0,0,3,X,X,X,X,X,X,X,N,9,10,1,W
2022-03-18,Orioles,Blue Jays,0 - 1 ,2,0,0,3,0,0,0,0,0,X,X,X,X,X,X,X,N,5,7,4,L
2022-03-18,Phillies,Tigers,0 - 0 ,0,0,1,0,2,1,2,0,0,X,X,X,X,X,X,X,N,6,12,0,T
2022-03-18,Tigers,Phillies,0 - 0 ,0,0,2,1,0,3,0,0,0,X,X,X,X,X,X,X,N,6,8,1,T
2022-03-18,Twins,Braves,0 - 2 ,0,0,0,0,0,0,0,0,1,X,X,X,X,X,X,X,N,1,3,0,L
2022-03-18,Braves,Twins,1 - 0 ,0,0,2,0,0,1,0,0,X,X,X,X,X,X,X,X,N,3,5,0,W
2022-03-18,Yankees,Pirates,0 - 1 ,2,0,0,0,0,0,0,0,1,X,X,X,X,X,X,X,N,3,5,0,L
2022-03-18,Pirates,Yankees,1 - 0 ,0,0,1,0,2,0,1,0,X,X,X,X,X,X,X,X,N,4,8,0,W
2022-03-18,Reds,Guardians,0 - 1 ,0,0,0,2,0,0,0,0,0,X,X,X,X,X,X,X,N,2,5,2,L
2022-03-18,Guardians,Reds,1 - 0 ,0,0,0,1,1,0,1,0,X,X,X,X,X,X,X,X,N,3,8,2,W
2022-03-18,Angels,Athletics,0 - 1 ,2,0,1,2,1,2,0,0,0,X,X,X,X,X,X,X,N,8,15,0,L
2022-03-18,Athletics,Angels,1 - 0 ,0,0,0,3,1,1,2,3,X,X,X,X,X,X,X,X,N,10,12,0,W
2022-03-18,Royals,Rangers,0 - 0 ,1,0,0,1,0,0,3,0,0,X,X,X,X,X,X,X,N,5,12,0,T
2022-03-18,Rangers,Royals,0 - 0 ,0,0,3,0,2,0,0,0,0,X,X,X,X,X,X,X,N,5,6,0,T
2022-03-18,Brewers,Dodgers,0 - 0 ,0,2,0,0,1,0,0,0,0,X,X,X,X,X,X,X,N,3,5,0,T
2022-03-18,Dodgers,Brewers,0 - 0 ,0,0,0,0,1,1,0,0,1,X,X,X,X,X,X,X,N,3,6,2,T
2022-03-18,Rockies,D-backs,2 - 0 ,0,0,0,1,0,0,0,3,1,X,X,X,X,X,X,X,N,5,9,0,W
2022-03-18,D-backs,Rockies,0 - 2 ,0,0,1,2,0,0,0,0,0,X,X,X,X,X,X,X,N,3,7,1,L
2022-03-18,Mariners,Padres,0 - 1 ,0,0,0,0,0,3,1,0,0,X,X,X,X,X,X,X,N,4,5,4,L
2022-03-18,Padres,Mariners,1 - 0 ,0,1,0,0,0,4,0,1,X,X,X,X,X,X,X,X,N,6,7,1,W
2022-03-18,Marlins,Nationals,1 - 0 ,0,1,3,3,0,1,0,0,0,X,X,X,X,X,X,X,N,8,9,1,W
2022-03-18,Nationals,Marlins,0 - 1 ,0,0,0,3,0,0,0,0,0,X,X,X,X,X,X,X,N,3,5,1,L
2022-03-18,Cubs,Giants,1 - 2 ,0,0,4,2,0,0,0,1,0,X,X,X,X,X,X,X,N,7,8,1,W
2022-03-18,Giants,Cubs,0 - 1 ,0,0,0,0,0,0,0,1,2,X,X,X,X,X,X,X,N,3,6,1,L
2022-03-19,Tigers,Pirates,0 - 1 ,0,0,0,0,2,1,0,0,0,X,X,X,X,X,X,X,N,3,6,0,L
2022-03-19,Pirates,Tigers,2 - 0 ,0,0,2,1,0,0,1,2,X,X,X,X,X,X,X,X,N,6,7,0,W
2022-03-19,Red Sox,Twins,3 - 0 ,0,0,0,0,0,0,1,0,0,X,X,X,X,X,X,X,N,1,4,0,W
2022-03-19,Twins,Red Sox,0 - 3 ,0,0,0,0,0,0,0,0,0,X,X,X,X,X,X,X,N,0,6,1,L
2022-03-19,Blue Jays,Phillies,1 - 1 ,1,1,0,0,0,0,0,0,0,X,X,X,X,X,X,X,N,2,3,1,L
2022-03-19,Phillies,Blue Jays,1 - 0 ,1,1,0,0,0,0,1,0,X,X,X,X,X,X,X,X,N,3,7,0,W
2022-03-19,Braves,Rays,1 - 0 ,0,0,0,0,4,0,0,0,0,X,X,X,X,X,X,X,N,4,8,0,T
