game_date,team,opponent,record,1st_inning,2nd_inning,3rd_inning,4th_inning,5th_inning,6th_inning,7th_inning,8th_inning,9th_inning,10th_inning,11th_inning,12th_inning,13th_inning,14th_inning,15th_inning,16th_inning,extra_inning,runs,hits,errors,result
2023-02-24,Rangers,Royals,0 - 1 ,0,3,0,0,0,0,1,1,0,X,X,X,X,X,X,X,N,5,9,2,L
2023-02-24,Royals,Rangers,1 - 0 ,2,0,0,2,1,0,0,0,1,X,X,X,X,X,X,X,N,6,8,1,W
2023-02-24,Mariners,Padres,1 - 0 ,0,0,0,3,0,0,0,0,0,X,X,X,X,X,X,X,N,3,8,0,W
2023-02-24,Padres,Mariners,0 - 1 ,0,0,0,0,0,0,0,2,0,X,X,X,X,X,X,X,N,2,8,1,L
2023-02-24,Huskies,Red Sox,0 - 1 ,0,0,0,2,1,0,0,X,X,X,X,X,X,X,X,X,N,3,6,0,L
2023-02-24,Red Sox,Huskies,1 - 0 ,5,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,N,5,6,2,W
2023-02-25,Mets,Astros,1 - 1 ,2,0,0,0,0,0,0,0,0,X,X,X,X,X,X,X,N,2,4,4,L
2023-02-25,Astros,Mets,1 - 0 ,0,0,0,0,0,1,3,0,X,X,X,X,X,X,X,X,N,4,8,0,W
2023-02-25,Nationals,Cardinals,1 - 0 ,1,0,0,0,0,0,0,1,1,X,X,X,X,X,X,X,N,3,9,1,W
2023-02-25,Cardinals,Nationals,0 - 1 ,0,0,2,0,0,0,0,0,0,X,X,X,X,X,X,X,N,2,5,0,L
2023-02-25,Blue Jays,Pirates,1 - 0 ,0,0,1,3,2,0,3,0,0,X,X,X,X,X,X,X,N,9,13,1,W
2023-02-25,Pirates,Blue Jays,0 - 1 ,0,0,4,0,0,1,0,2,0,X,X,X,X,X,X,X,N,7,7,2,L
2023-02-25,Twins,Orioles,1 - 1 ,1,0,0,2,0,1,1,0,0,X,X,X,X,X,X,X,N,5,4,0,L
2023-02-25,Orioles,Twins,1 - 0 ,0,0,0,1,4,2,3,0,X,X,X,X,X,X,X,X,N,10,13,0,W
2023-02-25,Rays,Twins,0 - 1 ,0,0,0,2,2,0,0,0,0,X,X,X,X,X,X,X,N,4,8,0,L
2023-02-25,Twins,Rays,1 - 1 ,0,6,0,0,0,0,2,0,X,X,X,X,X,X,X,X,N,8,12,1,W
2023-02-25,Phillies,Tigers,1 - 1 ,0,0,0,0,0,0,2,0,0,X,X,X,X,X,X,X,N,2,6,2,L
2023-02-25,Tigers,Phillies,1 - 0 ,0,0,1,0,0,1,2,0,X,X,X,X,X,X,X,X,N,4,6,0,W
2023-02-25,Red Sox,Braves,0 - 0 ,0,1,2,0,0,0,0,3,0,X,X,X,X,X,X,X,N,6,10,2,T
2023-02-25,Braves,Red Sox,0 - 0 ,0,0,2,0,1,0,0,0,3,X,X,X,X,X,X,X,N,6,9,1,T
2023-02-25,Yankees,Phillies,0 - 1 ,0,0,1,0,3,0,0,0,0,X,X,X,X,X,X,X,N,4,6,1,L
2023-02-25,Phillies,Yankees,1 - 1 ,0,2,0,0,2,0,2,1,X,X,X,X,X,X,X,X,N,7,11,0,W
2023-02-25,Guardians,Reds,0 - 1 ,1,1,0,0,1,0,0,0,0,X,X,X,X,X,X,X,N,3,8,0,L
2023-02-25,Reds,Guardians,1 - 0 ,1,1,0,0,0,0,0,1,1,X,X,X,X,X,X,X,N,4,7,0,W
2023-02-25,D-backs,Athletics,0 - 2 ,1,1,0,0,2,0,3,0,0,X,X,X,X,X,X,X,N,7,12,3,L
2023-02-25,Athletics,D-backs,1 - 0 ,0,0,2,1,6,2,0,1,X,X,X,X,X,X,X,X,N,12,11,1,W
2023-02-25,Giants,Cubs,0 - 1 ,1,0,1,3,0,2,0,0,1,X,X,X,X,X,X,X,N,8,13,6,L
2023-02-25,Cubs,Giants,1 - 0 ,0,1,1,0,7,0,0,1,X,X,X,X,X,X,X,X,N,10,12,0,W
2023-02-25,Royals,Rangers,2 - 0 ,0,0,0,7,1,0,1,0,1,X,X,X,X,X,X,X,N,10,10,0,W
2023-02-25,Rangers,Royals,0 - 2 ,0,3,0,0,0,0,0,0,2,X,X,X,X,X,X,X,N,5,9,0,L
2023-02-25,Padres,White Sox,1 - 1 ,1,0,0,1,0,0,0,1,3,X,X,X,X,X,X,X,N,6,9,0,W
2023-02-25,White Sox,Padres,0 - 1 ,0,1,0,0,0,0,0,0,1,X,X,X,X,X,X,X,N,2,4,1,L
2023-02-25,Rockies,D-backs,1 - 0 ,2,2,0,0,0,3,2,2,1,X,X,X,X,X,X,X,N,12,15,1,W
2023-02-25,D-backs,Rockies,0 - 2 ,1,0,0,1,1,0,1,1,0,X,X,X,X,X,X,X,N,5,12,2,L
2023-02-25,Angels,Mariners,1 - 0 ,0,4,0,1,0,0,0,0,0,X,X,X,X,X,X,X,N,5,10,0,W
2023-02-25,Mariners,Angels,1 - 1 ,0,0,0,0,1,0,0,0,0,X,X,X,X,X,X,X,N,1,5,0,L
2023-02-25,Dodgers,Brewers,0 - 1 ,0,0,2,0,0,0,2,0,0,X,X,X,X,X,X,X,N,4,6,0,L
2023-02-25,Brewers,Dodgers,1 - 0 ,1,0,2,0,2,2,0,0,X,X,X,X,X,X,X,X,N,7,9,0,W
2023-02-25,Marlins,Mets,0 - 1 ,0,1,1,0,0,0,0,0,0,X,X,X,X,X,X,X,N,2,3,1,L
2023-02-25,Mets,Marlins,1 - 1 ,0,2,1,0,2,0,0,0,X,X,X,X,X,X,X,X,N,5,10,1,W
2023-02-26,Orioles,Tigers,2 - 0 ,0,0,0,0,9,0,0,1,0,X,X,X,X,X,X,X,N,10,14,1,W
2023-02-26,Tigers,Orioles,1 - 1 ,1,0,0,0,3,1,0,0,1,X,X,X,X,X,X,X,N,6,5,0,L
