game_date,team,opponent,record,1st_inning,2nd_inning,3rd_inning,4th_inning,5th_inning,6th_inning,7th_inning,8th_inning,9th_inning,10th_inning,11th_inning,12th_inning,13th_inning,14th_inning,15th_inning,16th_inning,extra_inning,runs,hits,errors,result
2023-04-02,Tigers,Rays,0 - 3 ,0,0,0,0,0,0,0,0,1,X,X,X,X,X,X,X,N,1,2,0,L
2023-04-02,Rays,Tigers,3 - 0 ,0,0,0,1,0,3,0,1,X,X,X,X,X,X,X,X,N,5,8,0,W
2023-04-02,Orioles,Red Sox,1 - 2 ,0,0,0,0,3,0,2,0,0,X,X,X,X,X,X,X,N,5,10,2,L
2023-04-02,Red Sox,Orioles,2 - 1 ,1,1,1,0,3,0,2,1,X,X,X,X,X,X,X,X,N,9,14,0,W
2023-04-02,Braves,Nationals,2 - 1 ,0,0,0,1,0,0,0,0,0,X,X,X,X,X,X,X,N,1,4,0,L
2023-04-02,Nationals,Braves,1 - 2 ,4,0,0,0,0,0,0,0,X,X,X,X,X,X,X,X,N,4,6,0,W
2023-04-02,Giants,Yankees,1 - 2 ,0,0,0,0,0,0,0,0,0,X,X,X,X,X,X,X,N,0,3,0,L
2023-04-02,Yankees,Giants,2 - 1 ,0,0,3,1,0,0,2,0,X,X,X,X,X,X,X,X,N,6,7,1,W
2023-04-02,Pirates,Reds,1 - 2 ,0,0,0,1,0,0,0,0,0,X,X,X,X,X,X,X,N,1,6,0,L
2023-04-02,Reds,Pirates,2 - 1 ,0,1,1,0,1,0,0,0,X,X,X,X,X,X,X,X,N,3,9,0,W
2023-04-02,Mets,Marlins,3 - 1 ,2,0,0,0,2,0,1,0,0,X,X,X,X,X,X,X,N,5,5,0,W
2023-04-02,Marlins,Mets,1 - 3 ,1,0,0,0,0,0,0,0,0,X,X,X,X,X,X,X,N,1,4,1,L
2023-04-02,Twins,Royals,3 - 0 ,0,1,0,1,0,1,3,1,0,X,X,X,X,X,X,X,N,7,13,0,W
2023-04-02,Royals,Twins,0 - 3 ,0,1,0,0,0,0,2,0,1,X,X,X,X,X,X,X,N,4,6,0,L
2023-04-02,White Sox,Astros,2 - 2 ,0,0,0,0,1,2,0,1,2,X,X,X,X,X,X,X,N,6,13,0,W
2023-04-02,Astros,White Sox,2 - 2 ,0,0,0,0,0,1,0,0,2,X,X,X,X,X,X,X,N,3,7,0,L
2023-04-02,Blue Jays,Cardinals,1 - 2 ,0,3,0,0,0,1,0,0,0,X,X,X,X,X,X,X,N,4,10,0,L
2023-04-02,Cardinals,Blue Jays,2 - 1 ,4,0,3,2,0,0,0,0,X,X,X,X,X,X,X,X,N,9,16,0,W
2023-04-02,Brewers,Cubs,2 - 1 ,0,1,1,1,0,5,1,0,0,X,X,X,X,X,X,X,N,9,13,0,W
2023-04-02,Cubs,Brewers,1 - 2 ,1,1,0,0,0,0,1,2,0,X,X,X,X,X,X,X,N,5,9,1,L
2023-04-02,Angels,Athletics,2 - 1 ,0,0,0,3,3,0,0,0,0,X,X,X,X,X,X,X,N,6,11,0,W
2023-04-02,Athletics,Angels,1 - 2 ,0,0,0,0,0,0,0,0,0,X,X,X,X,X,X,X,N,0,5,1,L
2023-04-02,D-backs,Dodgers,2 - 2 ,0,0,0,0,1,0,0,0,1,X,X,X,X,X,X,X,N,2,9,0,W
2023-04-02,Dodgers,D-backs,2 - 2 ,1,0,0,0,0,0,0,0,0,X,X,X,X,X,X,X,N,1,4,1,L
2023-04-02,Rockies,Padres,2 - 2 ,0,0,0,0,0,0,1,0,0,X,X,X,X,X,X,X,N,1,4,0,L
2023-04-02,Padres,Rockies,2 - 2 ,0,0,3,0,0,0,0,0,X,X,X,X,X,X,X,X,N,3,4,0,W
2023-04-02,Guardians,Mariners,3 - 1 ,0,3,0,0,1,0,1,0,0,1,X,X,X,X,X,X,Y,6,9,1,W
2023-04-02,Mariners,Guardians,1 - 3 ,1,0,3,0,1,0,0,0,0,0,X,X,X,X,X,X,Y,5,9,1,L
2023-04-02,Phillies,Rangers,0 - 3 ,0,0,0,1,0,0,0,0,0,X,X,X,X,X,X,X,N,1,9,0,L
2023-04-02,Rangers,Phillies,3 - 0 ,0,1,0,0,1,0,0,0,X,X,X,X,X,X,X,X,N,2,8,0,W
